"mathall","vm","vocabpre","mathpre","numbmath","age","momdegr","daddegr","hsgpaar","cauc","male"
14,1,20,4,6,18,18,14,3.89,0,0
4,0,13,2,1,19,16,20,2.88,1,0
3,0,15,4,1,22,12,12,2.8,0,0
6,0,17,5,2,18,12,12,3.06,0,1
7,0,20,6,3,35,14,14,2.65605915488864,1,0
9,0,16,4,1,19,16,16,3.5,0,0
14,1,25,11,1,45,12,12,2.601257780847,1,0
3,0,20,4,4,24,12,12,3,0,0
9,1,19,3,1,21,12,12,2.66,0,0
15,0,25,11,4,21,16,20,3,1,1
11,0,25,5,4,19,12,12,3.61,1,0
4,0,24,8,1,24,18,20,3.17,1,0
5,0,16,3,2,44,12,0,2.75,0,0
8,0,25,11,4,34,12,12,3,1,1
4,0,16,3,1,18,12,12,3.34,1,0
8,0,31,9,3,30,14,16,3.6,1,0
17,1,24,12,3,19,18,20,3.57,0,1
5,0,25,7,1,19,12,18,2.4,1,0
10,1,11,3,1,21,14,13.1998739014201,2.47,0,0
11,0,21,8,3,19,18,18,3.09,1,0
9,1,18,2,2,19,16,12,3.69,1,0
5,0,26,4,1,20,18,20,2.69,1,0
15,0,30,8,3,20,12,12,3.95,1,0
5,0,22,5,2,19.211498973306,14.7458298703695,15.0098987064812,3.39668171415069,1,0
18,1,21,13,2,18,12,12,3.16,1,1
7,0,22,3,3,21,16,12,3.72,1,0
16,1,17,7,3,19,14,16,3.3,0,0
11,0,26,8,2,22,16,20,3.2,1,0
3,0,22,4,2,18,16,16,2.52,0,0
13,0,27,7,3,19,20,16,2.56,1,0
5,0,22,8,1,18,18,20,3.36,1,0
