"vocabpre"	"mathpre"	"numbmath"	"likemath"	"likelit"	"preflit"	"pextra"	"pagree"	"pconsc"	"pemot"	"pintell"	"mars"	"beck"	"rq"	"vm"	"cauc"	"afram"	"other"	"age"	"male"	"married"	"parents."	"momdegr"	"daddegr"	"credit"	"majormi"	"actcomp"	"hsgpaar"	"collgpaa"	"vocaball"	"mathall"
"31"	21	4	2	2	4	3	18	31	37	28	24	57	6	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	52190.1097319916	12	12	14	"non-technical"	19	3.3	3.7	13	12
"32"	10	5	3	8	2	1	35	41	27	39	34	36	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"male"	"0"	40000	16	12	54	"technical"	17.3467366927851	3.5	2.297	5	16
"33"	25	9	1	8	2	1	26	21	46	17	36	65	9	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	1e+05	12	16	0	"non-technical"	26	3.54	2.95	6	14
"34"	27	3	2	4	5	3	21	36	32	29	23	79	6	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	131049.841086953	16	12	52	"technical"	23	3.8	2.587	17	14
"35"	23	3	0	2	10	3	49	50	36	39	46	113	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	26	"female"	"0"	117471.830901957	12	12	10	"non-technical"	18.7160717127102	2	2.75	13	3
"36"	22	9	2	2	3	3	46	44	31	40	39	33	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	20.3039014373717	"male"	"0"	31965.79555793	14.479203054159	15.2648789247243	45.3614443320145	"non-technical"	26	3.1	3.794	9	16
"37"	22	5	1	2	8	3	23	49	42	41	42	68	2	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	64647.2031850874	16	16	12	"non-technical"	21	3.36	2.25	11	7
"38"	24	10	1	3	7	3	34	43	40	21	37	46	14	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	60000	9	12	0	"non-technical"	26	4	3.19	10	13
"39"	22	10	3	9	4	1	33	45	42	33	31	58	5	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	1e+05	16	16	0	"non-technical"	24	3.72	2.86	7	13
"40"	20	10	3	4	2	1	26	35	43	32	31	65	2	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	21	"male"	"0"	108141.971200225	14	12	65	"non-technical"	25.477	3.28	2.697	10	11
"41"	27	11	3	5	5	2	39	42	34	27	43	36	3	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	45000	18	18	14	"non-technical"	28	3.48	2.806	8	11
"42"	12	6	2	2	7	3	28	43	32	19	32	80	5	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	22	"female"	"0"	95000	9	10.8821975810423	26	"technical"	19	2.93	2.3	20	5
"43"	12	1	0	6	8	2	44	42	40	49	38	70	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	37	"female"	"married"	74893.3374564229	13.122156268436	12.3563238749228	6	"non-technical"	11.3480550834085	2.32662682576096	3.5	6	6
"44"	22	9	1	5	10	3	22	42	40	13	40	46	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	29	"female"	"0"	98583.1432942494	12	10	6	"non-technical"	21.3921305628275	2.5	2.5	18	4
"45"	19	9	2	2	7	3	28	45	37	23	41	47	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	24	"female"	"0"	20000	13	13.253631585529	30	"non-technical"	19.6225282756482	2	2.3	7	8
"46"	14	1	1	6	7	3	33	39	35	29	32	57.2916666666667	3	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	25	"female"	"0"	72350.1895650932	16	12	36	"non-technical"	17	2.9	1.9	8	2
"47"	22	3	2	2	5	3	32	41	26	15	38	115	21	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	24	"female"	"0"	88472.8026651697	16	13	120	"non-technical"	17	2.75652521310642	2.757	2	8
"48"	25	6	2	2	6	3	39	42	41	28	33	78	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"female"	"0"	119267.977457501	12	12	31.6311041957656	"non-technical"	21	2.5	2.89	21	6
"49"	23	1	1	5	5	1	25	35	33	17	32	51	15	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"0"	10000	14.5662552073887	14.2531122984088	64	"technical"	24	3.7	2.92	13	11
"50"	21	8	3	5	4	1	39	36	32	36	36	45	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"male"	"0"	70000	18	18	42	"non-technical"	21	2.83	2.655	10	14
"51"	27	11	3	7	5	1	30	37	38	36	36	86	4	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"female"	"0"	52386.3214038926	12	14	45	"non-technical"	22	3.12	3	6	12
"52"	21	9	2	7	9	1	32	41	38	29	32	66	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	150000	16	12	26	"non-technical"	21	3.4	3.57	16	10
"53"	31	13	2	9	5	1	24	43	31	24	33	41	4	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	98032.3224596962	16	12	18	"non-technical"	36.54	4.00831789603088	3.916	15	16
"54"	14	5	1	2	9	3	24	44	36	35	44	97	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	74000	12	12	13	"technical"	19	2.9	2	16	7
"55"	21	5	2	2	7	3	41	34	37	20	32	83	5	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	29	"female"	"0"	80000	13	12	31.6653739852778	"non-technical"	15.6097084688364	2	2.129	8	3
"56"	18	6	2	7	7	3	21	34	35	42	35	51	4	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"male"	"0"	20000	12	12	0	"non-technical"	18.7132710611401	2.44	1.52	20	11
"57"	20	6	2	2	9	3	15	47	36	24	35	25	7	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	20000	12	11.8975176364218	9	"non-technical"	19	3.09	1.617	6	12
"58"	14	4	1	2	6	3	44	40	27	31	43	102	6	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	122000	14	14	17	"non-technical"	17.6579360278374	3.4	2.5	9	4
"59"	18	9	1	2	7	3	23	40	28	28	37	62	5	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	22	"male"	"0"	1e+05	18	12	35	"non-technical"	20	2.8	1.961	17	3
"60"	19	6	2	5	4	1	29	43	43	31	32	44	2	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	160158.139449347	16	16.4617108853869	36	"technical"	25	3.8	3.693	3	11
"61"	18	8	2	8	3	1	28	44	34	30	37	30	3	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	20000	12	12	12	"non-technical"	20	3.43	2.384	16	8
"62"	22	6	1	7	3	1	35	38	40	18	38	62	4	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	98972.1798157603	16	16	34	"technical"	19	2.73	1.392	12	11
"63"	18	8	1	2	8	3	23	35	37	26	34	33	10	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"0"	60000	16	12	23	"technical"	18	2.5	1.84	16	3
"64"	25	6	3	8	9	1	35	34	32	29	30	30	4	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	4e+05	20	20	6	"non-technical"	28	4	1.92	16	13
"65"	27	11	4	3	6	3	23	36	35	24	35	40	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	26	"male"	"0"	94808.3873286037	12	16	130	"non-technical"	26	3.09662306114551	3	20	7
"66"	24	7	2	2	7	3	20	38	35	22	35	71	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	89439.8024207622	12	12	56	"non-technical"	23	3.63	3.2	9	11
"67"	28	9	2	3	7	3	21	40	40	21	42	84	9	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	26	"male"	"married"	80000	16	12	140	"non-technical"	26	3.3	3.8	15	12
"68"	26	10	3	9	7	3	33	36	26	12	39	30	19	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	22	"male"	"0"	45000	18	16	126	"technical"	30	3.6	2.92	9	17
"69"	20	9	3	10	2	1	38	32	41	10	41	87	29	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	41826.0782561492	16	16	15	"non-technical"	25	3.44	2.73	6	16
"70"	19	7	1	2	7	3	32	42	34	14	30	48	6	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	130276.7231742	12	12	1	"non-technical"	23	2.04	2.96	7	13
"71"	13	6	2	4	6	3	45	40	27	20	26	50	7	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	117485.501298942	12	12	15	"non-technical"	18	2.87	2.44	9	12
"72"	21	7	2	2	7	3	34	41	44	35	34	44	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	21	"female"	"0"	80000	12	12	92	"non-technical"	21	2.93	2.95	5	9
"73"	22	8	2	5	8	3	36	40	40	27	38	65	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	81751.7847409321	12	16	32.0220753248868	"technical"	24	3.9	2.8	8	11
"74"	15	8	2	3	5	3	39	38	35	38	31	72	2	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"male"	"0"	118581.934261479	13.6890859581937	14.6400322285244	64	"non-technical"	19	1.84	2.267	6	8
"75"	24	9	3	10	7	1	18	45	45	42	33	35	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"female"	"0"	60000	13	16	54	"technical"	25	4	3.19	6	17
"76"	15	2	1	6	7	1	26	31	30	32	34	51	3	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"male"	"0"	0	14.8506757551025	14.2743189783637	14	"non-technical"	17.2687803748556	2.5	2.10663591761952	3	12
"77"	16	4	1	3	2	3	41	39	29	34	37	25	0	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"male"	"0"	140000	14	12	13	"non-technical"	20	2.15	1.954	9	12
"78"	24	5	2	7	7	2	22	39	31	34	39	41	7	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	65109.6312048102	18	16	32.8395792930577	"technical"	23.9350473835555	3.61675838509678	2.66294794653747	19	14
"79"	21	5	1	4	9	3	45	49	32	36	34	35	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	75000	12	12	18	"non-technical"	24	3.64	3.67	14	9
"80"	17	6	3	7	2	1	32	36	31	27	35	40	2	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	22	"female"	"0"	70000	16	12	34	"non-technical"	18	4.5	2.57	16	11
"81"	23	6	1	3	7	3	19	39	23	31	32	78	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19.0718685831622	"female"	"0"	78516.7995181275	14.3807732832072	14.1790041160526	19.8398041067669	"non-technical"	22.4029006855339	3.07747924129655	2.51542924794525	22	4
"82"	11	4	2	8	5	1	31	36	33	28	30	86.4583333333333	3	"quasiexperiment"	"Mathematics"	"Other"	"Other"	1	18	"female"	"0"	44179.2124078748	8	12	10	"non-technical"	16	2.8	1.555	7	12
"83"	25	7	1	3	4	2	44	44	32	28	30	51	3	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	18	"female"	"0"	74051.3949204662	12	12	0	"non-technical"	21	2.94	0.363	10	11
"84"	15	11	2	8	7	1	29	30	34	30	28	82	6.5	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	24	"female"	"0"	81741.5316961599	16	12	70	"technical"	19	3.42	3.514	7	15
"85"	21	1	1	9	5	1	27	36	36	27	33	84	1	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	23	"female"	"0"	15000	15	14.2338647265583	0	"technical"	15	2.61	3.43	4	13
"86"	15	1	2	4	5	3	35	29	36	35	30	43	11	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	36	"female"	"0"	54127.235742657	12	12	61.18621147461	"non-technical"	12.9274083628588	2.36135592411816	2.8	9	11
"87"	28	7	0	2	9	3	38	47	43	44	35	82	1	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	35	"female"	"married"	92000	16	16	17.7731144694717	"non-technical"	21	2.4	1.32	12	5
"88"	20	2	0	2	7	3	44	44	33	40	39	117	2	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	31	"female"	"married"	95079.7162353841	13	13	0	"non-technical"	15.7639106687721	2.3870255962651	3	9	7
"89"	25	4	2	2	7	3	27	37	38	22	39	79.1666666666667	6	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	22	"female"	"0"	90000	16	12	4	"non-technical"	22	1.88	2.428	8	10
"90"	22	4	1	2	10	3	38	35	32	28	38	121	10	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	75000	14	16	3.80821616014739	"non-technical"	20	2.48	2.57	17	0
"91"	25	8	2	5	10	3	34	48	39	37	43	51	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	60000	16	20	15	"non-technical"	29	4	3.52	19	14
"92"	23	11	2	3	6	3	39	47	37	25	34	52	7	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	2e+05	14	16	45	"non-technical"	28	3.85	3.554	20	13
"93"	25	9	4	2	8	3	35	44	32	27	43	58	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"female"	"0"	95000	16	18	60	"non-technical"	26.374	3.75	3.947	10	14
"94"	19	9	2	8	8	2	23	36	36	25	36	78	9	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	120000	14	18	0	"technical"	24	3.02	2	19	6
"95"	14	8	2	8	6	1	45	42	41	18	36	45	6	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	17	"female"	"0"	81139.2553581751	12	12.8930172345348	0	"non-technical"	16	2.05	1.36	6	8
"96"	23	9	2	6	6	3	28	39	32	30	39	56	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19.5728952772074	"female"	"0"	41515.1753668573	14.3139882057549	14.0725218745462	37.3586975595403	"non-technical"	22	3.47	3.39	6	14
"97"	23	8	1	6	5	1	31	38	36	30	28	26	3	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	21	"female"	"0"	165000	16	18	83	"non-technical"	19	2.91	3.13	11	11
"98"	25	2	2	4	5	3	34	39	41	32	34	64	4	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"0"	52586.8506753416	12	12	60	"non-technical"	18	3.1	2.26	22	10
"99"	26	12	1	4	8	3	35	37	34	33	36	41	0	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	28	"male"	"married"	50000	16	16	0	"non-technical"	22	2.4	2.18	10	11
"100"	30	7	2	4	10	3	37	42	26	34	47	47	2	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	22	"male"	"0"	19721.4005544773	15	15	48	"non-technical"	28	3.25	2.214	23	8
"101"	17	3	3	3	3	2	28	34	34	26	32	51	10	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	59000	12	12	14	"technical"	20	3.69	2.869	3	9
"102"	21	5	2	4	4	2	15	31	36	25	30	33	4	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	70000	16	12	9	"non-technical"	15	3.09	2.93	13	5
"103"	21	5	2	4	6	3	39	42	39	31	38	47	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	127881.191802533	16	16	18	"technical"	22	2.88	2.052	17	7
"104"	17	8	1	9	2	1	26	41	38	26	36	100	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"male"	"0"	20000	12	10	0	"technical"	19	3.84	2.47	7	16
"105"	27	12	3	7	4	1	30	41	30	37	42	42	7	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	150000	17	18	0	"technical"	29.364	3.02	1.53	20	16
"106"	15	5	3	2	5	3	24	31	39	28	31	73	1	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"female"	"0"	81000	16	16	65	"non-technical"	17	2.94	2.57	12	12
"107"	20	6	1	3	6	3	32	39	34	27	36	47	3	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"female"	"0"	50000	12	13	100	"non-technical"	16	3.2	2.88	17	7
"108"	27	12	1	10	10	3	48	43	37	30	47	38	2	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	45000	12	12	0.412075106155076	"non-technical"	24	3.8	3.05844119326823	20	3
"109"	16	0	1	4	3	1	35	38	41	20	32	75	8	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	16	18	12	"non-technical"	19	2.39	2.61	15	7
"110"	21	2	2	4	2	1	33	38	37	27	31	64	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	16	18	12	"non-technical"	19	2.39	2.61	15	7
"111"	26	8	2	5	7	3	24	46	40	30	39	68	5	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	21	"male"	"0"	1e+05	16	18	30	"technical"	21	1.87	2.47	16	14
"112"	19	4	2	6	6	2	31.213600423735	39.2874658360012	35.4288613424075	30.5725948342647	34.1681642545791	57	4	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	70000	18	18	12	"non-technical"	22	3.5	2.8	14	1
"113"	19	4	2	2	7	3	32	40	34	22	36	67	7	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	150000	12	13	56	"non-technical"	19	2.17	2.05	13	6
"114"	19	7	4	9	9	1	48	42	39	38	42	32	8	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	13	12	12	"non-technical"	23	3.47	3.384	3	15
"115"	30	10	3	8	10	3	40	38	45	32	49	27	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	1e+05	18	18	38	"non-technical"	30	4	3.72	22	17
"116"	19	9	4	9	5	1	18	31	37	27	38	89	3	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	19	"female"	"0"	65000	14	16	31	"technical"	22	3.17	2.806	12	16
"117"	22	7	2	5	6	1	20	35	42	33	32	40	6	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	115269.388243195	14.7967194137904	15.3924063956093	24.935072685917	"non-technical"	22	3.01	3.4	20	13
"118"	17	4	2	2	9	3	28	43	38	39	44	91	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	22	"female"	"0"	50000	14.4538788000171	14.8988917996485	83	"non-technical"	17	2.8	2	18	3
"119"	25	9	1	5	5	2	22	31	36	29	32	54.1666666666667	3	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	80000	16	12	0	"non-technical"	27	2.9	4	3	14
"120"	20	6	2	5	7	3	40	39	32	40	36	34	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	17	"female"	"0"	75000	16	16	0	"non-technical"	25	3.56	2.823	23	6
"121"	14	5	1	4	6	3	31	45	41	27	31	55	2	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	80000	12	12	0	"non-technical"	19	3.36	3.73	10	8
"122"	11	4	4	6	5	1	31	41	39	31	33	54	1.18181818181818	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"male"	"0"	50000	16	16	30	"technical"	16.806	3	2.46	16	11
"123"	23	8	2	4	10	3	41	45	32	39	26	44	2	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	50	"female"	"married"	147944.67418893	12	12	23	"non-technical"	17.2048319356852	2.34095184284613	3.703	22	9
"124"	26	8	1	3	8	3	35	39	32	32	33	86	1	"quasiexperiment"	"Vocabulary"	"Other"	"Other"	1	47	"female"	"married"	79500.9583133706	14	12	32	"non-technical"	17.7058083127939	2.37144377315304	3.05	18	4
"125"	20	6	1	3	6	3	39	38	34.4444444444444	34	34	65	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"male"	"0"	40000	16	15	0	"non-technical"	20	2.44447472347237	2	15	4
